bi_weekly_period,Temperature (C),Turbidity (NTU),Dissolved Oxygen (g/ml),pH,Ammonia (g/ml),Nitrate (g/ml),Average_Length(cm),Average_Weight(g),Growth_Rate(g/2weeks),Temperature (C)_RollingMean,Temperature (C)_RollingVariance,Turbidity (NTU)_RollingMean,Turbidity (NTU)_RollingVariance,Dissolved Oxygen (g/ml)_RollingMean,Dissolved Oxygen (g/ml)_RollingVariance,pH_RollingMean,pH_RollingVariance,Ammonia (g/ml)_RollingMean,Ammonia (g/ml)_RollingVariance,Nitrate (g/ml)_RollingMean,Nitrate (g/ml)_RollingVariance,Temperature (C)_Diff,Turbidity (NTU)_Diff,Dissolved Oxygen (g/ml)_Diff,pH_Diff,Ammonia (g/ml)_Diff,Nitrate (g/ml)_Diff
2021-07-19/2021-07-25,25.15082164538413,31.13937617751727,9.265397822901402,6.8618056395227125,inf,318.0241155536948,16.62998576503831,42.22339543630395,4.479203746908233,25.07399199205349,0.0118055912618111,31.364913740672183,0.1017343847877049,9.143705253657682,0.0296181628182091,6.864150262191538,1.0994510920228586e-05,,,330.0671505962714,290.06938607328834,0.1536593066612823,-0.4510751263098278,0.2433851384874419,-0.0046892453376505,,-24.086070085153267
2021-07-26/2021-08-01,25.08493749702933,32.92770568943391,9.175642045724608,6.9929784908978565,inf,333.7429535624317,16.791706287592568,43.81582095824469,1.59242552194074,25.11787957120673,0.0021703605022176,32.03354093347559,1.5990612215959965,9.220519934313009,0.0040280497682395,6.9273920652102845,0.0086031584689446,,,325.8835345580633,123.54093417228616,-0.0658841483548009,1.7883295119166362,-0.0897557771767942,0.131172851375144,,15.718838008736896
2021-08-02/2021-08-08,25.42626777694611,31.671332335329343,17.41508997005988,7.217162375,inf,443.40306886227546,19.021668199308383,75.61884623714296,31.803025278898268,25.25560263698772,0.0582531799940331,32.29951901238163,0.7892370024519818,13.295366007892246,33.944251048916385,7.105070432948928,0.0251292069455635,,,388.5730112123536,6012.670443787351,0.3413302799167788,-1.2563733541045643,8.239447924335273,0.2241838841021435,,109.66011529984377
2021-08-09/2021-08-15,24.86196216449039,33.59045157780196,14.185870783460285,7.147508573630758,2.357559232408415,774.6393271672107,22.11216131625136,120.08869242214362,44.46984618500066,25.14411497071825,0.1592204121245121,32.630891956565655,1.8415093334143389,15.800480376760085,5.213928277551462,7.182335474315379,0.0024258260225949,,,609.021198014743,54858.729407926745,-0.5643056124557191,1.919119242472615,-3.2292191865995967,-0.0696538013692418,-inf,331.23625830493523
2021-08-16/2021-08-22,24.63251402032948,33.8732912723449,13.164417104801965,7.047140250613389,0.6817574903610235,1037.8070452155623,24.49686670647038,153.07456309856292,32.985870676419296,24.747238092409937,0.026323225429443,33.73187142507344,0.0399991464045838,13.675143944131126,0.5216838088222724,7.097324412122074,0.0050369001326611,1.5196583613847192,1.404155739324536,906.2231861913864,34628.62391138822,-0.2294481441609086,0.2828396945429432,-1.02145367865832,-0.1003683230173688,-1.6758017420473914,263.1677180483516
2021-08-23/2021-08-29,24.415625,34.15,4.3774,7.040484000000001,0.3983855,1160.0,26.47857143,179.7428571,26.66829400143709,24.52406951016474,0.0235204235697437,34.01164563617246,0.0382838599802637,8.770908552400984,38.60583480004106,7.043812125306696,2.2152836115661394e-05,0.5400714951805118,0.040149842460584,1098.9035226077813,7465.559099475672,-0.2168890203294822,0.2767087276550981,-8.787017104801965,-0.0066562506133882,-0.2833719903610235,122.19295478443767
2021-06-14/2021-06-20,25.79271346900241,33.9932864785482,12.267360327284171,8.10760200251757,inf,855.2764082660233,7.006702282267387,3.6095248087046055,0.0,,,,,,,,,,,,,,,,,,
2021-06-21/2021-06-27,25.3026701351513,29.9146035163258,23.454775744528167,7.777017403420643,inf,787.2493720846788,8.670606386914843,8.128841047431886,4.51931623872728,25.54769180207685,0.1200712345259562,31.953944997437,8.317827353161633,17.861068035906168,62.57913185899433,7.942309702969107,0.0546430885800378,,,821.262890175351,2313.838825808969,-0.4900433338511121,-4.078682962222398,11.187415417243995,-0.3305845990969267,,-68.02703618134444
2021-06-28/2021-07-04,25.12783878966077,33.96629657260719,28.47947671918199,7.219717986132443,inf,410.0962390836881,12.375511851538596,18.34975343115153,10.220912383719648,25.21525446240604,0.0152829996830144,31.94045004446649,8.20810831115941,25.96712623185508,12.623809942343597,7.498367694776544,0.1552913202548838,,,598.6728055841835,71122.24286623143,-0.1748313454905279,4.05169305628139,5.024700974653822,-0.5572994172882,,-377.1531330009908
2021-07-05/2021-07-11,25.53074033590117,32.90672496356444,10.146170796030258,6.951338812547713,inf,360.07058088694566,14.629027491850929,29.5540505437081,11.204297112556567,25.32928956278097,0.0811648279814529,33.43651076808582,0.5613459973447198,19.312823757606125,168.05505303593517,7.085528399340078,0.0360136904070124,,,385.0834099853169,1251.2832390084973,0.4029015462404004,-1.0595716090427487,-18.33330592315173,-0.26837917358473,,-50.02565819674243
2021-07-12/2021-07-18,24.99716233872285,31.5904513038271,9.02201268441396,6.866494884860363,inf,342.11018563884807,15.965616449549785,37.74419168939572,8.190141145687619,25.263951337312008,0.1423527395364145,32.24858813369577,0.866288173659169,9.58409174022211,0.6318657299562986,6.908916848704038,0.0035992460327098,,,351.09038326289686,161.28789873377826,-0.5335779971783232,-1.3162736597373446,-1.124158111616298,-0.0848439276873502,,-17.960395248097598
2021-07-19/2021-07-25,25.15082164538413,31.13937617751727,9.265397822901402,6.8618056395227125,inf,318.0241155536948,16.62998576503831,42.22339543630395,4.479203746908233,25.07399199205349,0.0118055912618111,31.364913740672183,0.1017343847877049,9.143705253657682,0.0296181628182091,6.864150262191538,1.0994510920228586e-05,,,330.0671505962714,290.06938607328834,0.1536593066612823,-0.4510751263098278,0.2433851384874419,-0.0046892453376505,,-24.086070085153267
2021-07-26/2021-08-01,25.08493749702933,32.92770568943391,9.175642045724608,6.9929784908978565,inf,333.7429535624317,16.791706287592568,43.81582095824469,1.59242552194074,25.11787957120673,0.0021703605022176,32.03354093347559,1.5990612215959965,9.220519934313009,0.0040280497682395,6.9273920652102845,0.0086031584689446,,,325.8835345580633,123.54093417228616,-0.0658841483548009,1.7883295119166362,-0.0897557771767942,0.131172851375144,,15.718838008736896
2021-08-02/2021-08-08,25.42626777694611,31.671332335329343,17.41508997005988,7.217162375,inf,443.40306886227546,19.021668199308383,75.61884623714296,31.803025278898268,25.25560263698772,0.0582531799940331,32.29951901238163,0.7892370024519818,13.295366007892246,33.944251048916385,7.105070432948928,0.0251292069455635,,,388.5730112123536,6012.670443787351,0.3413302799167788,-1.2563733541045643,8.239447924335273,0.2241838841021435,,109.66011529984377
2021-08-09/2021-08-15,24.86196216449039,33.59045157780196,14.185870783460285,7.147508573630758,2.357559232408415,774.6393271672107,22.11216131625136,120.08869242214362,44.46984618500066,25.14411497071825,0.1592204121245121,32.630891956565655,1.8415093334143389,15.800480376760085,5.213928277551462,7.182335474315379,0.0024258260225949,,,609.021198014743,54858.729407926745,-0.5643056124557191,1.919119242472615,-3.2292191865995967,-0.0696538013692418,-inf,331.23625830493523
2021-08-16/2021-08-22,24.63251402032948,33.8732912723449,13.164417104801965,7.047140250613389,0.6817574903610235,1037.8070452155623,24.49686670647038,153.07456309856292,32.985870676419296,24.747238092409937,0.026323225429443,33.73187142507344,0.0399991464045838,13.675143944131126,0.5216838088222724,7.097324412122074,0.0050369001326611,1.5196583613847192,1.404155739324536,906.2231861913864,34628.62391138822,-0.2294481441609086,0.2828396945429432,-1.02145367865832,-0.1003683230173688,-1.6758017420473914,263.1677180483516
2021-08-23/2021-08-29,24.415625,34.15,4.3774,7.040484000000001,0.3983855,1160.0,26.47857143,179.7428571,26.66829400143709,24.52406951016474,0.0235204235697437,34.01164563617246,0.0382838599802637,8.770908552400984,38.60583480004106,7.043812125306696,2.2152836115661394e-05,0.5400714951805118,0.040149842460584,1098.9035226077813,7465.559099475672,-0.2168890203294822,0.2767087276550981,-8.787017104801965,-0.0066562506133882,-0.2833719903610235,122.19295478443767
2021-06-14/2021-06-20,25.79271346900241,33.9932864785482,12.267360327284171,8.10760200251757,inf,855.2764082660233,7.006702282267387,3.6095248087046055,0.0,,,,,,,,,,,,,,,,,,
2021-06-21/2021-06-27,25.3026701351513,29.9146035163258,23.454775744528167,7.777017403420643,inf,787.2493720846788,8.670606386914843,8.128841047431886,4.51931623872728,25.54769180207685,0.1200712345259562,31.953944997437,8.317827353161633,17.861068035906168,62.57913185899433,7.942309702969107,0.0546430885800378,,,821.262890175351,2313.838825808969,-0.4900433338511121,-4.078682962222398,11.187415417243995,-0.3305845990969267,,-68.02703618134444
2021-06-28/2021-07-04,25.12783878966077,33.96629657260719,28.47947671918199,7.219717986132443,inf,410.0962390836881,12.375511851538596,18.34975343115153,10.220912383719648,25.21525446240604,0.0152829996830144,31.94045004446649,8.20810831115941,25.96712623185508,12.623809942343597,7.498367694776544,0.1552913202548838,,,598.6728055841835,71122.24286623143,-0.1748313454905279,4.05169305628139,5.024700974653822,-0.5572994172882,,-377.1531330009908
2021-07-05/2021-07-11,25.53074033590117,32.90672496356444,10.146170796030258,6.951338812547713,inf,360.07058088694566,14.629027491850929,29.5540505437081,11.204297112556567,25.32928956278097,0.0811648279814529,33.43651076808582,0.5613459973447198,19.312823757606125,168.05505303593517,7.085528399340078,0.0360136904070124,,,385.0834099853169,1251.2832390084973,0.4029015462404004,-1.0595716090427487,-18.33330592315173,-0.26837917358473,,-50.02565819674243
2021-07-12/2021-07-18,24.99716233872285,31.5904513038271,9.02201268441396,6.866494884860363,inf,342.11018563884807,15.965616449549785,37.74419168939572,8.190141145687619,25.263951337312008,0.1423527395364145,32.24858813369577,0.866288173659169,9.58409174022211,0.6318657299562986,6.908916848704038,0.0035992460327098,,,351.09038326289686,161.28789873377826,-0.5335779971783232,-1.3162736597373446,-1.124158111616298,-0.0848439276873502,,-17.960395248097598
2021-07-19/2021-07-25,25.15082164538413,31.13937617751727,9.265397822901402,6.8618056395227125,inf,318.0241155536948,16.62998576503831,42.22339543630395,4.479203746908233,25.07399199205349,0.0118055912618111,31.364913740672183,0.1017343847877049,9.143705253657682,0.0296181628182091,6.864150262191538,1.0994510920228586e-05,,,330.0671505962714,290.06938607328834,0.1536593066612823,-0.4510751263098278,0.2433851384874419,-0.0046892453376505,,-24.086070085153267
2021-07-26/2021-08-01,25.08493749702933,32.92770568943391,9.175642045724608,6.9929784908978565,inf,333.7429535624317,16.791706287592568,43.81582095824469,1.59242552194074,25.11787957120673,0.0021703605022176,32.03354093347559,1.5990612215959965,9.220519934313009,0.0040280497682395,6.9273920652102845,0.0086031584689446,,,325.8835345580633,123.54093417228616,-0.0658841483548009,1.7883295119166362,-0.0897557771767942,0.131172851375144,,15.718838008736896
2021-08-02/2021-08-08,25.42626777694611,31.671332335329343,17.41508997005988,7.217162375,inf,443.40306886227546,19.021668199308383,75.61884623714296,31.803025278898268,25.25560263698772,0.0582531799940331,32.29951901238163,0.7892370024519818,13.295366007892246,33.944251048916385,7.105070432948928,0.0251292069455635,,,388.5730112123536,6012.670443787351,0.3413302799167788,-1.2563733541045643,8.239447924335273,0.2241838841021435,,109.66011529984377
2021-08-09/2021-08-15,24.86196216449039,33.59045157780196,14.185870783460285,7.147508573630758,2.357559232408415,774.6393271672107,22.11216131625136,120.08869242214362,44.46984618500066,25.14411497071825,0.1592204121245121,32.630891956565655,1.8415093334143389,15.800480376760085,5.213928277551462,7.182335474315379,0.0024258260225949,,,609.021198014743,54858.729407926745,-0.5643056124557191,1.919119242472615,-3.2292191865995967,-0.0696538013692418,-inf,331.23625830493523
2021-08-16/2021-08-22,24.63251402032948,33.8732912723449,13.164417104801965,7.047140250613389,0.6817574903610235,1037.8070452155623,24.49686670647038,153.07456309856292,32.985870676419296,24.747238092409937,0.026323225429443,33.73187142507344,0.0399991464045838,13.675143944131126,0.5216838088222724,7.097324412122074,0.0050369001326611,1.5196583613847192,1.404155739324536,906.2231861913864,34628.62391138822,-0.2294481441609086,0.2828396945429432,-1.02145367865832,-0.1003683230173688,-1.6758017420473914,263.1677180483516
2021-08-23/2021-08-29,24.415625,34.15,4.3774,7.040484000000001,0.3983855,1160.0,26.47857143,179.7428571,26.66829400143709,24.52406951016474,0.0235204235697437,34.01164563617246,0.0382838599802637,8.770908552400984,38.60583480004106,7.043812125306696,2.2152836115661394e-05,0.5400714951805118,0.040149842460584,1098.9035226077813,7465.559099475672,-0.2168890203294822,0.2767087276550981,-8.787017104801965,-0.0066562506133882,-0.2833719903610235,122.19295478443767
2021-06-14/2021-06-20,25.79271346900241,33.9932864785482,12.267360327284171,8.10760200251757,inf,855.2764082660233,7.006702282267387,3.6095248087046055,0.0,,,,,,,,,,,,,,,,,,
2021-06-21/2021-06-27,25.3026701351513,29.9146035163258,23.454775744528167,7.777017403420643,inf,787.2493720846788,8.670606386914843,8.128841047431886,4.51931623872728,25.54769180207685,0.1200712345259562,31.953944997437,8.317827353161633,17.861068035906168,62.57913185899433,7.942309702969107,0.0546430885800378,,,821.262890175351,2313.838825808969,-0.4900433338511121,-4.078682962222398,11.187415417243995,-0.3305845990969267,,-68.02703618134444
2021-06-28/2021-07-04,25.12783878966077,33.96629657260719,28.47947671918199,7.219717986132443,inf,410.0962390836881,12.375511851538596,18.34975343115153,10.220912383719648,25.21525446240604,0.0152829996830144,31.94045004446649,8.20810831115941,25.96712623185508,12.623809942343597,7.498367694776544,0.1552913202548838,,,598.6728055841835,71122.24286623143,-0.1748313454905279,4.05169305628139,5.024700974653822,-0.5572994172882,,-377.1531330009908
2021-07-05/2021-07-11,25.53074033590117,32.90672496356444,10.146170796030258,6.951338812547713,inf,360.07058088694566,14.629027491850929,29.5540505437081,11.204297112556567,25.32928956278097,0.0811648279814529,33.43651076808582,0.5613459973447198,19.312823757606125,168.05505303593517,7.085528399340078,0.0360136904070124,,,385.0834099853169,1251.2832390084973,0.4029015462404004,-1.0595716090427487,-18.33330592315173,-0.26837917358473,,-50.02565819674243
2021-07-12/2021-07-18,24.99716233872285,31.5904513038271,9.02201268441396,6.866494884860363,inf,342.11018563884807,15.965616449549785,37.74419168939572,8.190141145687619,25.263951337312008,0.1423527395364145,32.24858813369577,0.866288173659169,9.58409174022211,0.6318657299562986,6.908916848704038,0.0035992460327098,,,351.09038326289686,161.28789873377826,-0.5335779971783232,-1.3162736597373446,-1.124158111616298,-0.0848439276873502,,-17.960395248097598
2021-07-19/2021-07-25,25.15082164538413,31.13937617751727,9.265397822901402,6.8618056395227125,inf,318.0241155536948,16.62998576503831,42.22339543630395,4.479203746908233,25.07399199205349,0.0118055912618111,31.364913740672183,0.1017343847877049,9.143705253657682,0.0296181628182091,6.864150262191538,1.0994510920228586e-05,,,330.0671505962714,290.06938607328834,0.1536593066612823,-0.4510751263098278,0.2433851384874419,-0.0046892453376505,,-24.086070085153267
2021-07-26/2021-08-01,25.08493749702933,32.92770568943391,9.175642045724608,6.9929784908978565,inf,333.7429535624317,16.791706287592568,43.81582095824469,1.59242552194074,25.11787957120673,0.0021703605022176,32.03354093347559,1.5990612215959965,9.220519934313009,0.0040280497682395,6.9273920652102845,0.0086031584689446,,,325.8835345580633,123.54093417228616,-0.0658841483548009,1.7883295119166362,-0.0897557771767942,0.131172851375144,,15.718838008736896
2021-08-02/2021-08-08,25.42626777694611,31.671332335329343,17.41508997005988,7.217162375,inf,443.40306886227546,19.021668199308383,75.61884623714296,31.803025278898268,25.25560263698772,0.0582531799940331,32.29951901238163,0.7892370024519818,13.295366007892246,33.944251048916385,7.105070432948928,0.0251292069455635,,,388.5730112123536,6012.670443787351,0.3413302799167788,-1.2563733541045643,8.239447924335273,0.2241838841021435,,109.66011529984377
2021-08-09/2021-08-15,24.86196216449039,33.59045157780196,14.185870783460285,7.147508573630758,2.357559232408415,774.6393271672107,22.11216131625136,120.08869242214362,44.46984618500066,25.14411497071825,0.1592204121245121,32.630891956565655,1.8415093334143389,15.800480376760085,5.213928277551462,7.182335474315379,0.0024258260225949,,,609.021198014743,54858.729407926745,-0.5643056124557191,1.919119242472615,-3.2292191865995967,-0.0696538013692418,-inf,331.23625830493523
2021-08-16/2021-08-22,24.63251402032948,33.8732912723449,13.164417104801965,7.047140250613389,0.6817574903610235,1037.8070452155623,24.49686670647038,153.07456309856292,32.985870676419296,24.747238092409937,0.026323225429443,33.73187142507344,0.0399991464045838,13.675143944131126,0.5216838088222724,7.097324412122074,0.0050369001326611,1.5196583613847192,1.404155739324536,906.2231861913864,34628.62391138822,-0.2294481441609086,0.2828396945429432,-1.02145367865832,-0.1003683230173688,-1.6758017420473914,263.1677180483516
2021-08-23/2021-08-29,24.415625,34.15,4.3774,7.040484000000001,0.3983855,1160.0,26.47857143,179.7428571,26.66829400143709,24.52406951016474,0.0235204235697437,34.01164563617246,0.0382838599802637,8.770908552400984,38.60583480004106,7.043812125306696,2.2152836115661394e-05,0.5400714951805118,0.040149842460584,1098.9035226077813,7465.559099475672,-0.2168890203294822,0.2767087276550981,-8.787017104801965,-0.0066562506133882,-0.2833719903610235,122.19295478443767
2021-06-14/2021-06-20,25.79271346900241,33.9932864785482,12.267360327284171,8.10760200251757,inf,855.2764082660233,7.006702282267387,3.6095248087046055,0.0,,,,,,,,,,,,,,,,,,
2021-06-21/2021-06-27,25.3026701351513,29.9146035163258,23.454775744528167,7.777017403420643,inf,787.2493720846788,8.670606386914843,8.128841047431886,4.51931623872728,25.54769180207685,0.1200712345259562,31.953944997437,8.317827353161633,17.861068035906168,62.57913185899433,7.942309702969107,0.0546430885800378,,,821.262890175351,2313.838825808969,-0.4900433338511121,-4.078682962222398,11.187415417243995,-0.3305845990969267,,-68.02703618134444
2021-06-28/2021-07-04,25.12783878966077,33.96629657260719,28.47947671918199,7.219717986132443,inf,410.0962390836881,12.375511851538596,18.34975343115153,10.220912383719648,25.21525446240604,0.0152829996830144,31.94045004446649,8.20810831115941,25.96712623185508,12.623809942343597,7.498367694776544,0.1552913202548838,,,598.6728055841835,71122.24286623143,-0.1748313454905279,4.05169305628139,5.024700974653822,-0.5572994172882,,-377.1531330009908
2021-07-05/2021-07-11,25.53074033590117,32.90672496356444,10.146170796030258,6.951338812547713,inf,360.07058088694566,14.629027491850929,29.5540505437081,11.204297112556567,25.32928956278097,0.0811648279814529,33.43651076808582,0.5613459973447198,19.312823757606125,168.05505303593517,7.085528399340078,0.0360136904070124,,,385.0834099853169,1251.2832390084973,0.4029015462404004,-1.0595716090427487,-18.33330592315173,-0.26837917358473,,-50.02565819674243
2021-07-12/2021-07-18,24.99716233872285,31.5904513038271,9.02201268441396,6.866494884860363,inf,342.11018563884807,15.965616449549785,37.74419168939572,8.190141145687619,25.263951337312008,0.1423527395364145,32.24858813369577,0.866288173659169,9.58409174022211,0.6318657299562986,6.908916848704038,0.0035992460327098,,,351.09038326289686,161.28789873377826,-0.5335779971783232,-1.3162736597373446,-1.124158111616298,-0.0848439276873502,,-17.960395248097598
2021-07-19/2021-07-25,25.15082164538413,31.13937617751727,9.265397822901402,6.8618056395227125,inf,318.0241155536948,16.62998576503831,42.22339543630395,4.479203746908233,25.07399199205349,0.0118055912618111,31.364913740672183,0.1017343847877049,9.143705253657682,0.0296181628182091,6.864150262191538,1.0994510920228586e-05,,,330.0671505962714,290.06938607328834,0.1536593066612823,-0.4510751263098278,0.2433851384874419,-0.0046892453376505,,-24.086070085153267
2021-07-26/2021-08-01,25.08493749702933,32.92770568943391,9.175642045724608,6.9929784908978565,inf,333.7429535624317,16.791706287592568,43.81582095824469,1.59242552194074,25.11787957120673,0.0021703605022176,32.03354093347559,1.5990612215959965,9.220519934313009,0.0040280497682395,6.9273920652102845,0.0086031584689446,,,325.8835345580633,123.54093417228616,-0.0658841483548009,1.7883295119166362,-0.0897557771767942,0.131172851375144,,15.718838008736896
2021-08-02/2021-08-08,25.42626777694611,31.671332335329343,17.41508997005988,7.217162375,inf,443.40306886227546,19.021668199308383,75.61884623714296,31.803025278898268,25.25560263698772,0.0582531799940331,32.29951901238163,0.7892370024519818,13.295366007892246,33.944251048916385,7.105070432948928,0.0251292069455635,,,388.5730112123536,6012.670443787351,0.3413302799167788,-1.2563733541045643,8.239447924335273,0.2241838841021435,,109.66011529984377
2021-08-09/2021-08-15,24.86196216449039,33.59045157780196,14.185870783460285,7.147508573630758,2.357559232408415,774.6393271672107,22.11216131625136,120.08869242214362,44.46984618500066,25.14411497071825,0.1592204121245121,32.630891956565655,1.8415093334143389,15.800480376760085,5.213928277551462,7.182335474315379,0.0024258260225949,,,609.021198014743,54858.729407926745,-0.5643056124557191,1.919119242472615,-3.2292191865995967,-0.0696538013692418,-inf,331.23625830493523
2021-08-16/2021-08-22,24.63251402032948,33.8732912723449,13.164417104801965,7.047140250613389,0.6817574903610235,1037.8070452155623,24.49686670647038,153.07456309856292,32.985870676419296,24.747238092409937,0.026323225429443,33.73187142507344,0.0399991464045838,13.675143944131126,0.5216838088222724,7.097324412122074,0.0050369001326611,1.5196583613847192,1.404155739324536,906.2231861913864,34628.62391138822,-0.2294481441609086,0.2828396945429432,-1.02145367865832,-0.1003683230173688,-1.6758017420473914,263.1677180483516
2021-08-23/2021-08-29,24.415625,34.15,4.3774,7.040484000000001,0.3983855,1160.0,26.47857143,179.7428571,26.66829400143709,24.52406951016474,0.0235204235697437,34.01164563617246,0.0382838599802637,8.770908552400984,38.60583480004106,7.043812125306696,2.2152836115661394e-05,0.5400714951805118,0.040149842460584,1098.9035226077813,7465.559099475672,-0.2168890203294822,0.2767087276550981,-8.787017104801965,-0.0066562506133882,-0.2833719903610235,122.19295478443767
2021-06-14/2021-06-20,25.79271346900241,33.9932864785482,12.267360327284171,8.10760200251757,inf,855.2764082660233,7.006702282267387,3.6095248087046055,0.0,,,,,,,,,,,,,,,,,,
2021-06-21/2021-06-27,25.3026701351513,29.9146035163258,23.454775744528167,7.777017403420643,inf,787.2493720846788,8.670606386914843,8.128841047431886,4.51931623872728,25.54769180207685,0.1200712345259562,31.953944997437,8.317827353161633,17.861068035906168,62.57913185899433,7.942309702969107,0.0546430885800378,,,821.262890175351,2313.838825808969,-0.4900433338511121,-4.078682962222398,11.187415417243995,-0.3305845990969267,,-68.02703618134444
2021-06-28/2021-07-04,25.12783878966077,33.96629657260719,28.47947671918199,7.219717986132443,inf,410.0962390836881,12.375511851538596,18.34975343115153,10.220912383719648,25.21525446240604,0.0152829996830144,31.94045004446649,8.20810831115941,25.96712623185508,12.623809942343597,7.498367694776544,0.1552913202548838,,,598.6728055841835,71122.24286623143,-0.1748313454905279,4.05169305628139,5.024700974653822,-0.5572994172882,,-377.1531330009908
2021-07-05/2021-07-11,25.53074033590117,32.90672496356444,10.146170796030258,6.951338812547713,inf,360.07058088694566,14.629027491850929,29.5540505437081,11.204297112556567,25.32928956278097,0.0811648279814529,33.43651076808582,0.5613459973447198,19.312823757606125,168.05505303593517,7.085528399340078,0.0360136904070124,,,385.0834099853169,1251.2832390084973,0.4029015462404004,-1.0595716090427487,-18.33330592315173,-0.26837917358473,,-50.02565819674243
2021-07-12/2021-07-18,24.99716233872285,31.5904513038271,9.02201268441396,6.866494884860363,inf,342.11018563884807,15.965616449549785,37.74419168939572,8.190141145687619,25.263951337312008,0.1423527395364145,32.24858813369577,0.866288173659169,9.58409174022211,0.6318657299562986,6.908916848704038,0.0035992460327098,,,351.09038326289686,161.28789873377826,-0.5335779971783232,-1.3162736597373446,-1.124158111616298,-0.0848439276873502,,-17.960395248097598
2021-07-19/2021-07-25,25.15082164538413,31.13937617751727,9.265397822901402,6.8618056395227125,inf,318.0241155536948,16.62998576503831,42.22339543630395,4.479203746908233,25.07399199205349,0.0118055912618111,31.364913740672183,0.1017343847877049,9.143705253657682,0.0296181628182091,6.864150262191538,1.0994510920228586e-05,,,330.0671505962714,290.06938607328834,0.1536593066612823,-0.4510751263098278,0.2433851384874419,-0.0046892453376505,,-24.086070085153267
2021-07-26/2021-08-01,25.08493749702933,32.92770568943391,9.175642045724608,6.9929784908978565,inf,333.7429535624317,16.791706287592568,43.81582095824469,1.59242552194074,25.11787957120673,0.0021703605022176,32.03354093347559,1.5990612215959965,9.220519934313009,0.0040280497682395,6.9273920652102845,0.0086031584689446,,,325.8835345580633,123.54093417228616,-0.0658841483548009,1.7883295119166362,-0.0897557771767942,0.131172851375144,,15.718838008736896
2021-08-02/2021-08-08,25.42626777694611,31.671332335329343,17.41508997005988,7.217162375,inf,443.40306886227546,19.021668199308383,75.61884623714296,31.803025278898268,25.25560263698772,0.0582531799940331,32.29951901238163,0.7892370024519818,13.295366007892246,33.944251048916385,7.105070432948928,0.0251292069455635,,,388.5730112123536,6012.670443787351,0.3413302799167788,-1.2563733541045643,8.239447924335273,0.2241838841021435,,109.66011529984377
2021-08-09/2021-08-15,24.86196216449039,33.59045157780196,14.185870783460285,7.147508573630758,2.357559232408415,774.6393271672107,22.11216131625136,120.08869242214362,44.46984618500066,25.14411497071825,0.1592204121245121,32.630891956565655,1.8415093334143389,15.800480376760085,5.213928277551462,7.182335474315379,0.0024258260225949,,,609.021198014743,54858.729407926745,-0.5643056124557191,1.919119242472615,-3.2292191865995967,-0.0696538013692418,-inf,331.23625830493523
2021-08-16/2021-08-22,24.63251402032948,33.8732912723449,13.164417104801965,7.047140250613389,0.6817574903610235,1037.8070452155623,24.49686670647038,153.07456309856292,32.985870676419296,24.747238092409937,0.026323225429443,33.73187142507344,0.0399991464045838,13.675143944131126,0.5216838088222724,7.097324412122074,0.0050369001326611,1.5196583613847192,1.404155739324536,906.2231861913864,34628.62391138822,-0.2294481441609086,0.2828396945429432,-1.02145367865832,-0.1003683230173688,-1.6758017420473914,263.1677180483516
2021-08-23/2021-08-29,24.415625,34.15,4.3774,7.040484000000001,0.3983855,1160.0,26.47857143,179.7428571,26.66829400143709,24.52406951016474,0.0235204235697437,34.01164563617246,0.0382838599802637,8.770908552400984,38.60583480004106,7.043812125306696,2.2152836115661394e-05,0.5400714951805118,0.040149842460584,1098.9035226077813,7465.559099475672,-0.2168890203294822,0.2767087276550981,-8.787017104801965,-0.0066562506133882,-0.2833719903610235,122.19295478443767
